Item,Quantity,Category,Customer,CustomerType,Price
Perfume,1,Men's Accessories,Male,Teen = 13-19 yrs,100
Spoons,1,Kitchen,Female,Adult = 20-39 yrs,80
Mop,1,Household,Female,Adult = 20-39 yrs,120
Broom,1,Household,Female,Adult = 20-39 yrs,100
Kitchen set,1,Kitchen,Female,Adult = 20-39 yrs,200
Tshirt,1,Clothing,Male,Adult = 20-39 yrs,150
Lower,1,Clothing,Male,Adult = 20-39 yrs,200
Fairness Cream,1,Cosmetic,Male,Teen = 13-19 yrs,45
Hair Gel,1,Men's Accessories,Male,Teen = 13-19 yrs,80
Coffee Cup,1,Kitchen,Female,Adult = 20-39 yrs,85
Cup Set,1,Kitchen,Female,Adult = 20-39 yrs,220
Shirt,1,Men's Accessories,Male,Adult = 20-39 yrs,150
Tshirt,2,Clothing,Female,Middle Age Adult = 40-59 yrs,240
Cream,1,Cosmetic,Female,Teen = 13-19 yrs,10
Googles,1,Men's Accessories,Male,Adult = 20-39 yrs,120
Belt,1,Men's Accessories,Male,Teen = 13-19 yrs,145
Brush Set,1,Household,Female,Adult = 20-39 yrs,80
Washing brush,1,Household,Female,Adult = 20-39 yrs,35
Pan,1,Kitchen,Female,Middle Age Adult = 40-59 yrs,135
Stool,1,Household,Male,Middle Age Adult = 40-59 yrs,120
Flower pot set,1,Household,Male,Middle Age Adult = 40-59 yrs,300
Door Mat,1,Household,Female,Adult = 20-39 yrs,70
Moisturizer ,1,Cosmetic,Female,Adult = 20-39 yrs,65
Shampoo,1,Cosmetic,Female,Adult = 20-39 yrs,130
Powder,1,Cosmetic,Female,Adult = 20-39 yrs,35
Toothpaste,1,Household,Female,Middle Age Adult = 40-59 yrs,55
Plates,1,Kitchen,Female,Middle Age Adult = 40-59 yrs,130
Bucket,1,Household,Female,Adult = 20-39 yrs,180
Mug,1,Household,Female,Middle Age Adult = 40-59 yrs,80
Cup,1,Household,Female,Teen = 13-19 yrs,80
Perfume,1,Men's Accessories,Male,Teen = 13-19 yrs,100
Spoons,1,Kitchen,Female,Adult = 20-39 yrs,80
Mop,1,Household,Female,Adult = 20-39 yrs,120
Broom,1,Household,Female,Adult = 20-39 yrs,100
Kitchen set,1,Kitchen,Female,Adult = 20-39 yrs,200
Tshirt,1,Clothing,Male,Adult = 20-39 yrs,150
Lower,1,Clothing,Male,Adult = 20-39 yrs,200
Fairness Cream,1,Cosmetic,Male,Teen = 13-19 yrs,45
Hair Gel,1,Men's Accessories,Male,Teen = 13-19 yrs,80
Coffee Cup,1,Kitchen,Female,Adult = 20-39 yrs,85
Cup Set,1,Kitchen,Female,Adult = 20-39 yrs,220
Shirt,1,Men's Accessories,Male,Adult = 20-39 yrs,150
Tshirt,2,Clothing,Female,Middle Age Adult = 40-59 yrs,240
Cream,1,Cosmetic,Female,Teen = 13-19 yrs,10
Googles,1,Men's Accessories,Male,Adult = 20-39 yrs,120
Belt,1,Men's Accessories,Male,Teen = 13-19 yrs,145
Brush Set,1,Household,Female,Adult = 20-39 yrs,80
Mop,1,Household,Female,Adult = 20-39 yrs,120
Broom,1,Household,Female,Adult = 20-39 yrs,100
Perfume,1,Men's Accessories,Male,Teen = 13-19 yrs,100
Spoons,1,Kitchen,Female,Adult = 20-39 yrs,80
Mop,1,Household,Female,Adult = 20-39 yrs,120
Broom,1,Household,Female,Adult = 20-39 yrs,100
Kitchen set,1,Kitchen,Female,Adult = 20-39 yrs,200
Tshirt,1,Clothing,Male,Adult = 20-39 yrs,150
Lower,1,Clothing,Male,Adult = 20-39 yrs,200
Fairness Cream,1,Cosmetic,Male,Teen = 13-19 yrs,45
Hair Gel,1,Men's Accessories,Male,Teen = 13-19 yrs,80
Coffee Cup,1,Kitchen,Female,Adult = 20-39 yrs,85
Cup Set,1,Kitchen,Female,Adult = 20-39 yrs,220
Shirt,1,Men's Accessories,Male,Adult = 20-39 yrs,150
Tshirt,2,Clothing,Female,Middle Age Adult = 40-59 yrs,240
Cream,1,Cosmetic,Female,Teen = 13-19 yrs,10
Googles,1,Men's Accessories,Male,Adult = 20-39 yrs,120
Belt,1,Men's Accessories,Male,Teen = 13-19 yrs,145
Brush Set,1,Household,Female,Adult = 20-39 yrs,80
Mop,1,Household,Female,Adult = 20-39 yrs,120
Broom,1,Household,Female,Adult = 20-39 yrs,100
Perfume,1,Men's Accessories,Male,Teen = 13-19 yrs,100
Spoons,1,Kitchen,Female,Adult = 20-39 yrs,80
Mop,1,Household,Female,Adult = 20-39 yrs,120
Broom,1,Household,Female,Adult = 20-39 yrs,100
Cream,1,Cosmetic,Female,Teen = 13-19 yrs,10
Coffee Cup,1,Kitchen,Female,Adult = 20-39 yrs,85
Lower,1,Clothing,Male,Adult = 20-39 yrs,200
Coffee Cup,1,Kitchen,Female,Adult = 20-39 yrs,85
Hair Gel,1,Men's Accessories,Male,Teen = 13-19 yrs,80
Coffee Cup,1,Kitchen,Female,Adult = 20-39 yrs,85
Cup Set,1,Kitchen,Female,Adult = 20-39 yrs,220
Shirt,1,Men's Accessories,Male,Adult = 20-39 yrs,150
Tshirt,2,Clothing,Female,Middle Age Adult = 40-59 yrs,240
Cream,1,Cosmetic,Female,Teen = 13-19 yrs,10
Coffee Cup,1,Kitchen,Female,Adult = 20-39 yrs,85
Belt,1,Men's Accessories,Male,Teen = 13-19 yrs,145
Brush Set,1,Household,Female,Adult = 20-39 yrs,80
